participant_id,condition,trial_number,trial_type,target_x,target_y,target_radius,target_onset_timestamp_ms,click_timestamp_ms,reaction_time_ms,session_elapsed_ms,hit,cumulative_score
cincyu,visual,1,practice,81,482,28,1773353285969,1773353287298,1329,1329,1,1
cincyu,visual,2,practice,738,585,28,1773353287758,1773353288331,573,2362,1,2
cincyu,visual,3,practice,130,547,28,1773353288793,1773353289348,555,3379,1,3
cincyu,visual,4,practice,448,197,28,1773353289807,1773353290109,302,4140,1,4
cincyu,visual,5,practice,287,671,28,1773353290569,1773353290940,371,4971,0,4
cincyu,visual,6,experimental,258,618,28,1773353301878,1773353302520,642,16551,0,4
cincyu,visual,7,experimental,958,503,28,1773353302980,1773353303012,32,17043,0,4
cincyu,visual,8,experimental,787,254,28,1773353303473,1773353304383,910,18414,1,5
cincyu,visual,9,experimental,903,500,28,1773353304845,1773353305197,352,19228,1,6
cincyu,visual,10,experimental,304,101,28,1773353305660,1773353306098,438,20129,0,6
cincyu,visual,11,experimental,959,157,28,1773353306558,1773353307560,1002,21591,1,7
cincyu,visual,12,experimental,587,368,28,1773353308021,1773353308544,523,22575,1,8
cincyu,visual,13,experimental,357,526,28,1773353309004,1773353310131,1127,24162,1,9
cincyu,visual,14,experimental,884,134,28,1773353310590,1773353311095,505,25126,1,10
cincyu,visual,15,experimental,518,564,28,1773353311556,1773353312213,657,26244,1,11
cincyu,visual,16,experimental,38,442,28,1773353312673,1773353313263,590,27294,1,12
cincyu,visual,17,experimental,791,512,28,1773353313725,1773353314215,490,28246,1,13
cincyu,visual,18,experimental,83,493,28,1773353314675,1773353315096,421,29127,1,14
cincyu,visual,19,experimental,466,241,28,1773353315556,1773353315838,282,29869,1,15
cincyu,visual,20,experimental,668,510,28,1773353316301,1773353316636,335,30667,1,16
cincyu,visual,21,experimental,357,446,28,1773353317093,1773353317343,250,31374,1,17
cincyu,visual,22,experimental,845,605,28,1773353317804,1773353318140,336,32171,1,18
cincyu,visual,23,experimental,510,203,28,1773353318599,1773353318867,268,32898,1,19
cincyu,visual,24,experimental,682,359,28,1773353319326,1773353319579,253,33610,0,19
cincyu,visual,25,experimental,520,313,28,1773353320040,1773353320173,133,34204,1,20
